factura_id,fecha_emision,fecha_vencimiento,fecha_pago,cliente_id,cliente,sector,ciudad,vendedor,dias_credito,valor_factura,estado
F2025-0200,2025-04-20,2025-05-20,2025-07-03,C027,Constructora Horizonte,Construcción,Medellín,C. Peña,30,22600000,pagada
F2025-0201,2025-04-04,2025-05-04,2025-05-07,C011,Metalmecánica Bolívar,Manufactura,Bogotá,L. Vargas,30,15900000,pagada
F2025-0202,2025-04-06,2025-05-06,2025-04-26,C010,Café y Cosecha,Agroindustria,Bucaramanga,J. Mora,30,14400000,pagada
F2025-0203,2025-04-18,2025-06-02,2025-06-14,C017,Modas Capital,Retail,Medellín,C. Peña,45,13300000,pagada
F2025-0204,2025-04-17,2025-05-17,2025-05-19,C035,Tecnología Andina,Retail,Bucaramanga,C. Peña,30,3700000,pagada
F2025-0205,2025-04-24,2025-06-08,2025-06-14,C021,Consultores Empresariales BGA,Servicios,Bogotá,L. Vargas,45,14600000,pagada
F2025-0206,2025-04-22,2025-06-21,2025-06-23,C014,Panificadora Central,Manufactura,Barranquilla,C. Peña,60,9400000,pagada
F2025-0207,2025-04-26,2025-06-25,2025-07-15,C032,Acabados y Pinturas,Construcción,Medellín,L. Vargas,60,13900000,pagada
F2025-0208,2025-04-28,2025-05-28,2025-05-22,C035,Tecnología Andina,Retail,Bucaramanga,A. Rojas,30,14200000,pagada
F2025-0209,2025-04-09,2025-05-09,2025-05-14,C037,Alimentos La Espiga,Manufactura,Medellín,C. Peña,30,18700000,pagada
F2025-0210,2025-04-07,2025-06-06,2025-06-14,C012,Comercial Santa Fe,Retail,Medellín,L. Vargas,60,11300000,pagada
F2025-0211,2025-04-03,2025-05-03,2025-04-23,C029,Autopartes La 30,Retail,Barranquilla,C. Peña,30,9900000,pagada
F2025-0212,2025-04-01,2025-05-31,2025-05-22,C024,Vidrios y Aluminios Cali,Manufactura,Barranquilla,L. Vargas,60,10900000,pagada
F2025-0213,2025-04-20,2025-05-20,2025-06-03,C018,Ingeniería y Concreto,Construcción,Cali,A. Rojas,30,47900000,pagada
F2025-0214,2025-04-25,2025-05-25,2025-05-27,C016,Insumos Agrícolas Llanos,Retail,Bogotá,J. Mora,30,15600000,pagada
F2025-0215,2025-04-05,2025-05-05,2025-05-10,C005,Agroinsumos del Valle,Agroindustria,Bucaramanga,J. Mora,30,6100000,pagada
F2025-0216,2025-04-15,2025-05-15,2025-05-16,C011,Metalmecánica Bolívar,Manufactura,Bogotá,L. Vargas,30,7800000,pagada
F2025-0217,2025-04-01,2025-05-01,2025-05-11,C022,Maderas del Quindío,Manufactura,Medellín,C. Peña,30,31400000,pagada
F2025-0218,2025-04-04,2025-05-04,2025-06-11,C036,Construred,Construcción,Bogotá,D. Torres,30,24600000,pagada
F2025-0219,2025-04-16,2025-05-16,2025-05-16,C035,Tecnología Andina,Retail,Bucaramanga,J. Mora,30,5200000,pagada
F2025-0220,2025-04-02,2025-05-17,2025-05-23,C008,Supermercados La Economía,Retail,Cali,C. Peña,45,4800000,pagada
F2025-0221,2025-04-19,2025-05-19,2025-05-19,C028,Papelería Nacional,Retail,Cali,A. Rojas,30,3800000,pagada
F2025-0222,2025-04-17,2025-06-01,2025-06-12,C004,Ferretería La 80,Retail,Barranquilla,L. Vargas,45,13700000,pagada
F2025-0223,2025-04-08,2025-05-08,2025-05-01,C028,Papelería Nacional,Retail,Cali,D. Torres,30,5800000,pagada
F2025-0224,2025-04-12,2025-06-11,2025-06-24,C014,Panificadora Central,Manufactura,Barranquilla,J. Mora,60,16600000,pagada
F2025-0225,2025-04-16,2025-05-16,2025-05-07,C018,Ingeniería y Concreto,Construcción,Cali,A. Rojas,30,20700000,pagada
F2025-0226,2025-04-12,2025-05-12,2025-05-12,C029,Autopartes La 30,Retail,Barranquilla,A. Rojas,30,9400000,pagada
F2025-0227,2025-04-23,2025-06-07,2025-06-05,C017,Modas Capital,Retail,Medellín,L. Vargas,45,9500000,pagada
F2025-0228,2025-04-03,2025-05-03,2025-05-02,C033,Granos del Tolima,Agroindustria,Cali,A. Rojas,30,11500000,pagada
F2025-0229,2025-04-20,2025-05-20,2025-05-12,C022,Maderas del Quindío,Manufactura,Medellín,C. Peña,30,15800000,pagada
F2025-0230,2025-04-05,2025-05-20,2025-05-12,C040,Repuestos El Motor,Retail,Bucaramanga,C. Peña,45,16200000,pagada
F2025-0231,2025-04-14,2025-05-14,2025-05-16,C026,Calzado Bucaramanga,Manufactura,Bogotá,J. Mora,30,6100000,pagada
F2025-0232,2025-05-14,2025-06-13,2025-06-12,C016,Insumos Agrícolas Llanos,Retail,Bogotá,C. Peña,30,4600000,pagada
F2025-0233,2025-05-02,2025-06-16,2025-06-20,C017,Modas Capital,Retail,Medellín,D. Torres,45,8300000,pagada
F2025-0234,2025-05-01,2025-06-15,2025-06-17,C021,Consultores Empresariales BGA,Servicios,Bogotá,D. Torres,45,9000000,pagada
F2025-0235,2025-05-19,2025-07-03,2025-07-04,C004,Ferretería La 80,Retail,Barranquilla,D. Torres,45,3500000,pagada
F2025-0236,2025-05-04,2025-06-18,2025-06-19,C030,Lácteos San Fernando,Manufactura,Bucaramanga,C. Peña,45,13400000,pagada
F2025-0237,2025-05-22,2025-06-21,2025-07-15,C027,Constructora Horizonte,Construcción,Medellín,L. Vargas,30,33700000,pagada
F2025-0238,2025-05-10,2025-06-24,2025-06-28,C030,Lácteos San Fernando,Manufactura,Bucaramanga,L. Vargas,45,8600000,pagada
F2025-0239,2025-05-27,2025-06-26,2025-06-16,C022,Maderas del Quindío,Manufactura,Medellín,C. Peña,30,11500000,pagada
F2025-0240,2025-05-23,2025-07-22,2025-07-19,C032,Acabados y Pinturas,Construcción,Medellín,L. Vargas,60,15100000,pagada
F2025-0241,2025-05-15,2025-06-14,2025-06-14,C038,Química Industrial CB,Manufactura,Cali,A. Rojas,30,14200000,pagada
F2025-0242,2025-05-03,2025-07-02,2025-06-27,C023,Electrodomésticos La Rebaja,Retail,Cali,L. Vargas,60,6300000,pagada
F2025-0243,2025-05-21,2025-06-20,2025-06-25,C018,Ingeniería y Concreto,Construcción,Cali,C. Peña,30,11000000,pagada
F2025-0244,2025-05-04,2025-06-03,2025-06-19,C005,Agroinsumos del Valle,Agroindustria,Bucaramanga,J. Mora,30,9400000,pagada
F2025-0245,2025-05-17,2025-07-16,2025-07-16,C032,Acabados y Pinturas,Construcción,Medellín,L. Vargas,60,55600000,pagada
F2025-0246,2025-05-21,2025-06-20,2025-06-13,C037,Alimentos La Espiga,Manufactura,Medellín,A. Rojas,30,14400000,pagada
F2025-0247,2025-05-18,2025-06-17,2025-06-24,C028,Papelería Nacional,Retail,Cali,A. Rojas,30,10200000,pagada
F2025-0248,2025-05-06,2025-06-05,2025-06-17,C035,Tecnología Andina,Retail,Bucaramanga,C. Peña,30,13300000,pagada
F2025-0249,2025-05-17,2025-06-16,2025-06-22,C035,Tecnología Andina,Retail,Bucaramanga,L. Vargas,30,5500000,pagada
F2025-0250,2025-05-21,2025-07-20,2025-07-20,C032,Acabados y Pinturas,Construcción,Medellín,C. Peña,60,9400000,pagada
F2025-0251,2025-05-02,2025-06-16,2025-06-13,C021,Consultores Empresariales BGA,Servicios,Bogotá,L. Vargas,45,6900000,pagada
F2025-0252,2025-05-10,2025-06-24,2025-06-24,C004,Ferretería La 80,Retail,Barranquilla,D. Torres,45,19800000,pagada
F2025-0253,2025-05-12,2025-06-26,2025-06-28,C001,Almacenes El Dorado,Retail,Bogotá,D. Torres,45,7700000,pagada
F2025-0254,2025-05-11,2025-06-10,2025-07-31,C009,Obras Civiles del Norte,Construcción,Barranquilla,A. Rojas,30,26900000,pagada
F2025-0255,2025-05-24,2025-06-23,2025-06-30,C018,Ingeniería y Concreto,Construcción,Cali,L. Vargas,30,25300000,pagada
F2025-0256,2025-05-27,2025-07-11,2025-07-21,C030,Lácteos San Fernando,Manufactura,Bucaramanga,C. Peña,45,13500000,pagada
F2025-0257,2025-05-11,2025-07-10,2025-08-27,C019,Plásticos del Pacífico,Manufactura,Barranquilla,A. Rojas,60,15400000,pagada
F2025-0258,2025-05-26,2025-07-10,2025-07-14,C001,Almacenes El Dorado,Retail,Bogotá,J. Mora,45,14600000,pagada
F2025-0259,2025-05-15,2025-06-14,2025-06-16,C009,Obras Civiles del Norte,Construcción,Barranquilla,D. Torres,30,25600000,pagada
F2025-0260,2025-05-04,2025-06-18,2025-06-08,C040,Repuestos El Motor,Retail,Bucaramanga,L. Vargas,45,1600000,pagada
F2025-0261,2025-05-24,2025-07-08,2025-06-30,C040,Repuestos El Motor,Retail,Bucaramanga,A. Rojas,45,10500000,pagada
F2025-0262,2025-05-16,2025-06-15,2025-06-13,C016,Insumos Agrícolas Llanos,Retail,Bogotá,A. Rojas,30,15700000,pagada
F2025-0263,2025-05-19,2025-06-18,2025-06-23,C033,Granos del Tolima,Agroindustria,Cali,J. Mora,30,10000000,pagada
F2025-0264,2025-05-24,2025-06-23,2025-06-16,C029,Autopartes La 30,Retail,Barranquilla,C. Peña,30,9000000,pagada
F2025-0265,2025-05-09,2025-06-08,2025-05-29,C038,Química Industrial CB,Manufactura,Cali,J. Mora,30,13800000,pagada
F2025-0266,2025-05-08,2025-06-07,2025-07-26,C036,Construred,Construcción,Bogotá,C. Peña,30,15800000,pagada
F2025-0267,2025-05-23,2025-06-22,2025-06-23,C026,Calzado Bucaramanga,Manufactura,Bogotá,A. Rojas,30,12300000,pagada
F2025-0268,2025-05-14,2025-06-13,2025-06-07,C016,Insumos Agrícolas Llanos,Retail,Bogotá,C. Peña,30,11200000,pagada
F2025-0269,2025-05-12,2025-06-11,2025-06-10,C026,Calzado Bucaramanga,Manufactura,Bogotá,J. Mora,30,23000000,pagada
F2025-0270,2025-05-19,2025-07-03,2025-08-15,C013,Constructora Cimientos,Construcción,Cali,D. Torres,45,26900000,pagada
F2025-0271,2025-05-15,2025-07-14,2025-07-22,C014,Panificadora Central,Manufactura,Barranquilla,C. Peña,60,15500000,pagada
F2025-0272,2025-05-28,2025-07-12,2025-07-02,C025,Frutas Exóticas Export,Agroindustria,Bucaramanga,L. Vargas,45,13300000,pagada
F2025-0273,2025-05-09,2025-07-08,2025-07-06,C023,Electrodomésticos La Rebaja,Retail,Cali,L. Vargas,60,7400000,pagada
F2025-0274,2025-05-05,2025-07-04,2025-07-22,C024,Vidrios y Aluminios Cali,Manufactura,Barranquilla,C. Peña,60,27200000,pagada
F2025-0275,2025-05-21,2025-06-20,2025-06-25,C016,Insumos Agrícolas Llanos,Retail,Bogotá,J. Mora,30,8100000,pagada
F2025-0276,2025-05-05,2025-06-19,2025-06-22,C017,Modas Capital,Retail,Medellín,J. Mora,45,9000000,pagada
F2025-0277,2025-05-10,2025-06-24,2025-06-20,C001,Almacenes El Dorado,Retail,Bogotá,D. Torres,45,8300000,pagada
F2025-0278,2025-05-20,2025-07-04,2025-07-06,C025,Frutas Exóticas Export,Agroindustria,Bucaramanga,D. Torres,45,13300000,pagada
F2025-0279,2025-05-24,2025-07-23,2025-07-22,C024,Vidrios y Aluminios Cali,Manufactura,Barranquilla,A. Rojas,60,18900000,pagada
F2025-0280,2025-05-21,2025-06-20,2025-06-11,C038,Química Industrial CB,Manufactura,Cali,J. Mora,30,16600000,pagada
F2025-0281,2025-05-23,2025-07-07,2025-06-27,C021,Consultores Empresariales BGA,Servicios,Bogotá,A. Rojas,45,5200000,pagada
F2025-0282,2025-05-22,2025-07-21,2025-08-28,C019,Plásticos del Pacífico,Manufactura,Barranquilla,C. Peña,60,8800000,pagada
F2025-0283,2025-05-25,2025-07-24,2025-07-31,C003,Distribuciones Caribe,Retail,Cali,C. Peña,60,7300000,pagada
F2025-0284,2025-05-08,2025-06-22,2025-06-27,C008,Supermercados La Economía,Retail,Cali,J. Mora,45,9800000,pagada
F2025-0285,2025-05-27,2025-07-26,2025-07-25,C014,Panificadora Central,Manufactura,Barranquilla,D. Torres,60,5400000,pagada
F2025-0286,2025-05-17,2025-06-16,2025-06-17,C016,Insumos Agrícolas Llanos,Retail,Bogotá,J. Mora,30,8600000,pagada
F2025-0287,2025-05-02,2025-06-01,2025-06-04,C015,Transportes El Rápido,Servicios,Bucaramanga,C. Peña,30,11100000,pagada
F2025-0288,2025-05-13,2025-06-12,2025-06-10,C016,Insumos Agrícolas Llanos,Retail,Bogotá,J. Mora,30,10600000,pagada
F2025-0289,2025-05-20,2025-07-04,2025-07-01,C031,Seguridad Total Ltda,Servicios,Bogotá,L. Vargas,45,10100000,pagada
F2025-0290,2025-05-05,2025-07-04,2025-06-28,C006,Textiles Antioquia,Manufactura,Bogotá,L. Vargas,60,19000000,pagada
F2025-0291,2025-05-24,2025-07-23,2025-07-25,C014,Panificadora Central,Manufactura,Barranquilla,D. Torres,60,19200000,pagada
F2025-0292,2025-05-23,2025-07-07,2025-07-05,C007,Servicios Logísticos Andinos,Servicios,Medellín,C. Peña,45,4400000,pagada
F2025-0293,2025-05-27,2025-07-11,2025-08-23,C013,Constructora Cimientos,Construcción,Cali,L. Vargas,45,14300000,pagada
F2025-0294,2025-05-01,2025-05-31,2025-06-02,C028,Papelería Nacional,Retail,Cali,J. Mora,30,7800000,pagada
F2025-0295,2025-05-03,2025-06-02,2025-07-27,C002,Constructora Monserrate,Construcción,Medellín,D. Torres,30,11800000,pagada
F2025-0296,2025-05-17,2025-07-16,2025-07-19,C014,Panificadora Central,Manufactura,Barranquilla,J. Mora,60,16800000,pagada
F2025-0297,2025-05-13,2025-06-27,2025-07-12,C001,Almacenes El Dorado,Retail,Bogotá,D. Torres,45,7900000,pagada
F2025-0298,2025-05-19,2025-06-18,2025-06-15,C039,Eventos y Banquetes Real,Servicios,Barranquilla,L. Vargas,30,10800000,pagada
F2025-0299,2025-05-11,2025-06-25,2025-07-01,C030,Lácteos San Fernando,Manufactura,Bucaramanga,A. Rojas,45,8600000,pagada
F2025-0300,2025-05-04,2025-06-03,2025-06-03,C010,Café y Cosecha,Agroindustria,Bucaramanga,L. Vargas,30,9700000,pagada
F2025-0301,2025-05-17,2025-07-01,2025-06-21,C008,Supermercados La Economía,Retail,Cali,A. Rojas,45,7700000,pagada
F2025-0302,2025-05-09,2025-06-23,2025-07-06,C004,Ferretería La 80,Retail,Barranquilla,A. Rojas,45,9400000,pagada
F2025-0303,2025-05-12,2025-07-11,2025-09-04,C019,Plásticos del Pacífico,Manufactura,Barranquilla,J. Mora,60,10800000,pagada
F2025-0304,2025-05-18,2025-07-02,2025-07-07,C031,Seguridad Total Ltda,Servicios,Bogotá,A. Rojas,45,6100000,pagada
F2025-0305,2025-05-07,2025-07-06,2025-07-05,C024,Vidrios y Aluminios Cali,Manufactura,Barranquilla,C. Peña,60,14700000,pagada
F2025-0306,2025-05-13,2025-06-12,2025-07-27,C036,Construred,Construcción,Bogotá,A. Rojas,30,11000000,pagada
F2025-0307,2025-05-05,2025-07-04,2025-07-06,C014,Panificadora Central,Manufactura,Barranquilla,D. Torres,60,10700000,pagada
F2025-0308,2025-05-09,2025-07-08,2025-07-05,C012,Comercial Santa Fe,Retail,Medellín,J. Mora,60,9200000,pagada
F2025-0309,2025-06-10,2025-07-25,2025-07-26,C001,Almacenes El Dorado,Retail,Bogotá,J. Mora,45,18900000,pagada
F2025-0310,2025-06-01,2025-07-16,2025-07-10,C040,Repuestos El Motor,Retail,Bucaramanga,A. Rojas,45,3300000,pagada
F2025-0311,2025-06-16,2025-07-16,2025-09-08,C002,Constructora Monserrate,Construcción,Medellín,D. Torres,30,16200000,pagada
F2025-0312,2025-06-12,2025-07-27,2025-07-29,C021,Consultores Empresariales BGA,Servicios,Bogotá,C. Peña,45,11600000,pagada
F2025-0313,2025-06-10,2025-07-10,2025-07-12,C005,Agroinsumos del Valle,Agroindustria,Bucaramanga,J. Mora,30,9600000,pagada
F2025-0314,2025-06-21,2025-08-05,2025-07-26,C004,Ferretería La 80,Retail,Barranquilla,D. Torres,45,3000000,pagada
F2025-0315,2025-06-18,2025-07-18,2025-07-26,C028,Papelería Nacional,Retail,Cali,C. Peña,30,8600000,pagada
F2025-0316,2025-06-22,2025-08-06,2025-08-17,C030,Lácteos San Fernando,Manufactura,Bucaramanga,A. Rojas,45,11800000,pagada
F2025-0317,2025-06-02,2025-07-02,2025-07-12,C005,Agroinsumos del Valle,Agroindustria,Bucaramanga,L. Vargas,30,10900000,pagada
F2025-0318,2025-06-24,2025-08-08,2025-08-16,C040,Repuestos El Motor,Retail,Bucaramanga,A. Rojas,45,6600000,pagada
F2025-0319,2025-06-26,2025-08-10,2025-10-04,C013,Constructora Cimientos,Construcción,Cali,C. Peña,45,22000000,pagada
F2025-0320,2025-06-27,2025-08-11,2025-09-03,C013,Constructora Cimientos,Construcción,Cali,L. Vargas,45,11600000,pagada
F2025-0321,2025-06-14,2025-08-13,2025-08-03,C012,Comercial Santa Fe,Retail,Medellín,J. Mora,60,7600000,pagada
F2025-0322,2025-06-01,2025-07-31,2025-10-06,C019,Plásticos del Pacífico,Manufactura,Barranquilla,D. Torres,60,9500000,pagada
F2025-0323,2025-06-11,2025-07-26,2025-07-25,C008,Supermercados La Economía,Retail,Cali,J. Mora,45,7100000,pagada
F2025-0324,2025-06-27,2025-08-11,2025-08-11,C017,Modas Capital,Retail,Medellín,J. Mora,45,3600000,pagada
F2025-0325,2025-06-09,2025-07-09,2025-07-27,C009,Obras Civiles del Norte,Construcción,Barranquilla,D. Torres,30,21200000,pagada
F2025-0326,2025-06-10,2025-08-09,2025-08-14,C003,Distribuciones Caribe,Retail,Cali,D. Torres,60,9100000,pagada
F2025-0327,2025-06-04,2025-07-04,2025-07-13,C015,Transportes El Rápido,Servicios,Bucaramanga,D. Torres,30,3600000,pagada
F2025-0328,2025-06-18,2025-07-18,2025-08-24,C027,Constructora Horizonte,Construcción,Medellín,J. Mora,30,29200000,pagada
F2025-0329,2025-06-01,2025-07-16,2025-07-21,C031,Seguridad Total Ltda,Servicios,Bogotá,C. Peña,45,5600000,pagada
F2025-0330,2025-06-22,2025-07-22,2025-08-06,C015,Transportes El Rápido,Servicios,Bucaramanga,A. Rojas,30,6100000,pagada
F2025-0331,2025-06-24,2025-08-08,2025-09-24,C013,Constructora Cimientos,Construcción,Cali,D. Torres,45,19600000,pagada
F2025-0332,2025-06-10,2025-08-09,2025-07-31,C032,Acabados y Pinturas,Construcción,Medellín,C. Peña,60,53200000,pagada
F2025-0333,2025-06-09,2025-07-09,2025-07-02,C028,Papelería Nacional,Retail,Cali,J. Mora,30,16600000,pagada
F2025-0334,2025-06-12,2025-07-12,2025-07-17,C034,Muebles Modernos,Manufactura,Barranquilla,C. Peña,30,11200000,pagada
F2025-0335,2025-06-03,2025-07-03,2025-06-29,C037,Alimentos La Espiga,Manufactura,Medellín,A. Rojas,30,10400000,pagada
F2025-0336,2025-06-10,2025-07-10,2025-08-01,C033,Granos del Tolima,Agroindustria,Cali,C. Peña,30,6700000,pagada
F2025-0337,2025-06-10,2025-07-10,2025-07-08,C038,Química Industrial CB,Manufactura,Cali,C. Peña,30,20900000,pagada
F2025-0338,2025-06-23,2025-08-07,2025-07-28,C017,Modas Capital,Retail,Medellín,L. Vargas,45,6200000,pagada
F2025-0339,2025-06-22,2025-07-22,2025-07-12,C016,Insumos Agrícolas Llanos,Retail,Bogotá,A. Rojas,30,3800000,pagada
F2025-0340,2025-06-12,2025-07-27,2025-09-02,C013,Constructora Cimientos,Construcción,Cali,A. Rojas,45,39900000,pagada
F2025-0341,2025-06-03,2025-07-03,2025-07-12,C010,Café y Cosecha,Agroindustria,Bucaramanga,L. Vargas,30,12000000,pagada
F2025-0342,2025-06-13,2025-07-28,2025-08-05,C030,Lácteos San Fernando,Manufactura,Bucaramanga,A. Rojas,45,17700000,pagada
F2025-0343,2025-06-14,2025-07-14,2025-07-21,C029,Autopartes La 30,Retail,Barranquilla,L. Vargas,30,10900000,pagada
F2025-0344,2025-06-26,2025-07-26,2025-07-18,C033,Granos del Tolima,Agroindustria,Cali,A. Rojas,30,6000000,pagada
F2025-0345,2025-06-15,2025-07-30,2025-08-01,C007,Servicios Logísticos Andinos,Servicios,Medellín,D. Torres,45,2300000,pagada
F2025-0346,2025-06-23,2025-08-07,2025-08-09,C020,Droguería Vital,Servicios,Bucaramanga,C. Peña,45,4600000,pagada
F2025-0347,2025-06-19,2025-07-19,2025-09-13,C009,Obras Civiles del Norte,Construcción,Barranquilla,C. Peña,30,29100000,pagada
F2025-0348,2025-06-23,2025-07-23,2025-09-19,C036,Construred,Construcción,Bogotá,L. Vargas,30,14000000,pagada
F2025-0349,2025-06-19,2025-07-19,2025-07-21,C011,Metalmecánica Bolívar,Manufactura,Bogotá,D. Torres,30,22400000,pagada
F2025-0350,2025-06-11,2025-08-10,2025-08-10,C006,Textiles Antioquia,Manufactura,Bogotá,L. Vargas,60,6200000,pagada
F2025-0351,2025-06-22,2025-08-21,2025-09-05,C023,Electrodomésticos La Rebaja,Retail,Cali,C. Peña,60,13100000,pagada
F2025-0352,2025-06-11,2025-07-11,2025-08-09,C036,Construred,Construcción,Bogotá,D. Torres,30,25200000,pagada
F2025-0353,2025-06-11,2025-07-11,2025-07-12,C037,Alimentos La Espiga,Manufactura,Medellín,C. Peña,30,19800000,pagada
F2025-0354,2025-06-15,2025-07-30,2025-08-09,C004,Ferretería La 80,Retail,Barranquilla,A. Rojas,45,6800000,pagada
F2025-0355,2025-06-28,2025-08-27,2025-08-25,C014,Panificadora Central,Manufactura,Barranquilla,C. Peña,60,20000000,pagada
F2025-0356,2025-06-22,2025-08-06,2025-08-01,C007,Servicios Logísticos Andinos,Servicios,Medellín,J. Mora,45,6200000,pagada
F2025-0357,2025-06-28,2025-08-12,2025-09-26,C013,Constructora Cimientos,Construcción,Cali,L. Vargas,45,29500000,pagada
F2025-0358,2025-06-28,2025-07-28,2025-07-27,C022,Maderas del Quindío,Manufactura,Medellín,A. Rojas,30,26900000,pagada
F2025-0359,2025-06-03,2025-08-02,2025-08-04,C012,Comercial Santa Fe,Retail,Medellín,L. Vargas,60,6400000,pagada
F2025-0360,2025-06-18,2025-08-17,2025-08-22,C003,Distribuciones Caribe,Retail,Cali,A. Rojas,60,17600000,pagada
F2025-0361,2025-06-03,2025-07-18,2025-07-08,C021,Consultores Empresariales BGA,Servicios,Bogotá,A. Rojas,45,11100000,pagada
F2025-0362,2025-06-07,2025-08-06,2025-08-08,C003,Distribuciones Caribe,Retail,Cali,D. Torres,60,12200000,pagada
F2025-0363,2025-06-16,2025-07-16,2025-07-17,C010,Café y Cosecha,Agroindustria,Bucaramanga,J. Mora,30,5500000,pagada
F2025-0364,2025-06-28,2025-08-12,2025-08-15,C001,Almacenes El Dorado,Retail,Bogotá,C. Peña,45,12300000,pagada
F2025-0365,2025-06-19,2025-08-03,2025-07-24,C004,Ferretería La 80,Retail,Barranquilla,A. Rojas,45,7100000,pagada
F2025-0366,2025-06-07,2025-07-07,2025-06-27,C018,Ingeniería y Concreto,Construcción,Cali,D. Torres,30,32200000,pagada
F2025-0367,2025-06-23,2025-07-23,2025-07-17,C035,Tecnología Andina,Retail,Bucaramanga,L. Vargas,30,5000000,pagada
F2025-0368,2025-06-27,2025-08-11,2025-08-18,C031,Seguridad Total Ltda,Servicios,Bogotá,L. Vargas,45,2500000,pagada
F2025-0369,2025-06-15,2025-07-30,2025-07-20,C004,Ferretería La 80,Retail,Barranquilla,D. Torres,45,7600000,pagada
F2025-0370,2025-06-21,2025-07-21,2025-07-25,C002,Constructora Monserrate,Construcción,Medellín,J. Mora,30,38300000,pagada
F2025-0371,2025-07-28,2025-09-26,2025-09-21,C006,Textiles Antioquia,Manufactura,Bogotá,L. Vargas,60,12700000,pagada
F2025-0372,2025-07-04,2025-08-18,2025-08-16,C017,Modas Capital,Retail,Medellín,D. Torres,45,10400000,pagada
F2025-0373,2025-07-11,2025-09-09,2025-09-13,C006,Textiles Antioquia,Manufactura,Bogotá,L. Vargas,60,39600000,pagada
F2025-0374,2025-07-06,2025-08-05,2025-08-06,C005,Agroinsumos del Valle,Agroindustria,Bucaramanga,J. Mora,30,15100000,pagada
F2025-0375,2025-07-11,2025-08-10,2025-09-01,C036,Construred,Construcción,Bogotá,A. Rojas,30,28300000,pagada
F2025-0376,2025-07-26,2025-09-24,2025-10-13,C032,Acabados y Pinturas,Construcción,Medellín,A. Rojas,60,30400000,pagada
F2025-0377,2025-07-27,2025-08-26,2025-09-26,C009,Obras Civiles del Norte,Construcción,Barranquilla,A. Rojas,30,18600000,pagada
F2025-0378,2025-07-25,2025-08-24,2025-08-23,C034,Muebles Modernos,Manufactura,Barranquilla,D. Torres,30,12500000,pagada
F2025-0379,2025-07-28,2025-09-26,2025-10-05,C003,Distribuciones Caribe,Retail,Cali,A. Rojas,60,3900000,pagada
F2025-0380,2025-07-23,2025-09-21,2025-09-13,C012,Comercial Santa Fe,Retail,Medellín,A. Rojas,60,10100000,pagada
F2025-0381,2025-07-06,2025-08-05,2025-08-15,C029,Autopartes La 30,Retail,Barranquilla,A. Rojas,30,14900000,pagada
F2025-0382,2025-07-16,2025-08-30,2025-10-11,C013,Constructora Cimientos,Construcción,Cali,L. Vargas,45,31900000,pagada
F2025-0383,2025-07-11,2025-08-25,2025-08-30,C030,Lácteos San Fernando,Manufactura,Bucaramanga,L. Vargas,45,13800000,pagada
F2025-0384,2025-07-09,2025-08-08,2025-08-12,C035,Tecnología Andina,Retail,Bucaramanga,D. Torres,30,9200000,pagada
F2025-0385,2025-07-07,2025-09-05,2025-08-26,C003,Distribuciones Caribe,Retail,Cali,L. Vargas,60,14800000,pagada
F2025-0386,2025-07-13,2025-08-27,2025-08-17,C001,Almacenes El Dorado,Retail,Bogotá,D. Torres,45,7900000,pagada
F2025-0387,2025-07-06,2025-08-05,2025-07-29,C038,Química Industrial CB,Manufactura,Cali,C. Peña,30,24600000,pagada
F2025-0388,2025-07-16,2025-08-30,2025-08-26,C021,Consultores Empresariales BGA,Servicios,Bogotá,J. Mora,45,4300000,pagada
F2025-0389,2025-07-24,2025-09-07,2025-09-13,C021,Consultores Empresariales BGA,Servicios,Bogotá,J. Mora,45,5100000,pagada
F2025-0390,2025-07-25,2025-09-23,2025-11-07,C019,Plásticos del Pacífico,Manufactura,Barranquilla,C. Peña,60,32400000,pagada
F2025-0391,2025-07-11,2025-08-10,2025-07-31,C018,Ingeniería y Concreto,Construcción,Cali,D. Torres,30,28500000,pagada
F2025-0392,2025-07-02,2025-08-01,2025-08-01,C028,Papelería Nacional,Retail,Cali,C. Peña,30,7300000,pagada
F2025-0393,2025-07-27,2025-09-25,2025-10-03,C024,Vidrios y Aluminios Cali,Manufactura,Barranquilla,A. Rojas,60,10800000,pagada
F2025-0394,2025-07-11,2025-08-25,2025-08-26,C007,Servicios Logísticos Andinos,Servicios,Medellín,L. Vargas,45,8700000,pagada
F2025-0395,2025-07-23,2025-08-22,2025-09-13,C026,Calzado Bucaramanga,Manufactura,Bogotá,C. Peña,30,11600000,pagada
F2025-0396,2025-07-19,2025-08-18,2025-10-11,C027,Constructora Horizonte,Construcción,Medellín,L. Vargas,30,38800000,pagada
F2025-0397,2025-07-04,2025-08-03,2025-08-13,C005,Agroinsumos del Valle,Agroindustria,Bucaramanga,A. Rojas,30,27300000,pagada
F2025-0398,2025-07-18,2025-08-17,2025-08-17,C016,Insumos Agrícolas Llanos,Retail,Bogotá,L. Vargas,30,8600000,pagada
F2025-0399,2025-07-04,2025-09-02,2025-09-16,C032,Acabados y Pinturas,Construcción,Medellín,D. Torres,60,26200000,pagada
F2025-0400,2025-07-06,2025-08-20,2025-08-29,C025,Frutas Exóticas Export,Agroindustria,Bucaramanga,J. Mora,45,6600000,pagada
